year,scheme,energy_sold_gwh,capacity_factor,buy_p10,buy_mean,buy_p50,buy_p90,sell_p10,sell_mean,sell_p50,sell_p90,margin_per_mwh_sold,gross_profit_bn
2022,S1 perfect foresight,5146.6,0.2671,9.45,101.39,82.66,247.4,119.37,307.74,240.68,508.32,172.07,0.886
2022,S2 rule of thumb,1547.7,0.0803,-37.93,22.54,30.54,64.93,138.32,206.67,173.01,298.72,173.39,0.268
2022,S3 forecaster,3410.0,0.1769,-7.34,64.28,69.78,126.89,118.2,224.5,190.32,299.99,137.02,0.467
2023,S1 perfect foresight,5745.0,0.2981,-22.14,38.84,48.8,80.51,92.25,178.8,132.61,265.48,124.36,0.714
2023,S2 rule of thumb,2375.1,0.1232,-2.97,38.39,49.05,65.29,137.59,238.1,170.6,297.43,184.24,0.438
2023,S3 forecaster,4838.9,0.2511,-0.55,48.69,57.35,85.7,106.08,191.89,138.71,276.96,124.66,0.603
2024,S1 perfect foresight,6528.7,0.3378,-23.15,40.46,51.23,83.78,92.72,276.11,157.75,292.88,219.56,1.433
2024,S2 rule of thumb,3017.1,0.1561,-30.48,31.78,45.7,64.18,139.81,382.15,185.15,299.66,336.87,1.016
2024,S3 forecaster,5516.5,0.2855,-16.33,44.98,54.06,85.46,105.54,301.23,164.37,294.26,238.82,1.317
2025,S1 perfect foresight,6680.1,0.3466,-19.19,28.72,35.35,73.07,101.91,210.16,140.06,242.35,168.86,1.128
2025,S2 rule of thumb,3587.2,0.1861,-17.5,25.22,30.82,62.94,138.41,288.75,167.06,278.52,252.0,0.904
2025,S3 forecaster,5932.3,0.3078,-18.33,33.21,39.74,77.69,107.16,223.02,145.82,249.65,175.89,1.043
